text,label
开怀大笑一整场，最后却蓦然飙泪。身份、地位、财富、性格、教养、爱好、年龄，各方面皆如此悬殊的两人，磁场却契合完美。无论爱情友情，所谓好的、有爱的关系，是两个人都在关系里感到开心融合、自由释放、并因而成长。什么是灵魂伴侣？这，就是传说中的，灵魂伴侣。,4
触不可及，多恰到好处的名字。德瑞克和菲利普在身边都没有自己的知己，反而是两个完全不在同一世界的人成为了好伙伴。知己真是可遇不可求啊。,4
#资料馆#二刷，这次注意的是示爱、出轨和报复的对称翻转，假作真时真亦假；劳顿夫妻档对手戏妙趣横生(处处厌女和生活中的性取向形成呼应)，羡慕嫉妒恨的希胖电影里如此人情味大概会截然不同；对道具的运用(雪茄、单镜片、尖刀)非常电影化，黛德丽的长裤和丝袜都被扯破；人生如戏，全靠演技！,5
隐忍布局与一触即发的翻盘，从讨酒、写信和广播几个事件中便能对男主内敛的思绪窥见一斑，全片除精彩外更多是积压一种对自由的渴望，冲破狭隘牢笼得到海阔天空，结局不甚美好。而片中上吊的老爷子，则是早已磨灭希望的消极典型，意在与男主形成对比。,5
warm,4
校园青春片的一股清流。只是我既没怦然也没心动，不明白为什么会被捧上天,2
老师推荐看的，电影很不错,4
对不起我是警察，梁朝伟好帅演技好棒，这是香港影片的鼎盛时代,5
官场政治教学片。94年对电影来说真是个神奇的年份，大概这年过后从叙事和题材上能拍的也就差不多了吧，后来者只能在技术上进行创新突破了吧,5
"为最后马克思去世,玛丽永远失去知己而嚎啕大哭.而现实中,我们的人生注定孤独终老.",5
"we got to dance! if they shoot this half a decade later, the screen should be all in black.",5
很久以前看过的，永远难忘片中父亲的鬼脸,5
一边看一边觉得没劲，虽然整个厅的人时不时的笑着，还是觉得很无趣。看过的人几乎都说好看，也许是不合我的口味吧。,1
不是我故意唱唱反调，只是动物托邦强行粉饰动物庄园到了不惜“请和食物做朋友”的地步实在令人不愉快，结尾那场歌舞秀和五十六个民族是一家的大联欢实则毫无区别，迪斯尼的美式民俗汇演并不能掩盖其下残酷真实的问题：究竟谁是野蛮？谁又是文明？,2
这么老的电影能引起这么多，这么强烈的共鸣……还有原来好多名言都是出自这部电影的,4
我想在这写一百个经典！,5
最美好的冒险就是和你一起厮守到老。,5
和陈永仁一天生日的我也不爱带表，看过太多遍但百老汇粤语版重看依然感动。港人热衷的身份认同卧底题材走上天台并把该片推上后97时代港片巅峰同时也是衰落的开始，而刘建明生不如死要弃暗投明的心态和因开门而死映照香港以及这帮创作者的走势再合适不过。虽有为续集设置青年和几处硬伤但制作很强大。,5
每天睁眼，去面对这个世界都需要勇气。,5
卓别林关于爱情的表述总是童话式的，那是穷人也可以拥有的唯一不用标上价码，摆上精美橱窗的奢侈品。对于流浪者来说，工作的理由只有一个，便是帮助心爱的人。跨越阶级的友谊就像一场场酒醉的狂欢，本质上是不存在的。爱与善即是城市之光，它可以点亮双眼，点亮人心。,4
